title,author,rating,publication_date
The Hour Before Dark,Douglas Clegg,3.76,09/01/03
The Halloween Man,Douglas Clegg,3.36,10/01/98
The Sisters: The Saga of the Mitford Family,Mary S. Lovell,3.97,05/20/03
Soldiers of Salamis,Javier Cercas/Anne McLean,3.81,01/10/05
Spandau: The Secret Diaries,Albert Speer,4.13,02/05/76
El coronel no tiene quien le escriba,Gabriel García Márquez,3.75,02/07/06
Of Love and Other Demons,Gabriel García Márquez,3.98,05/02/95
Noticia de un secuestro,Gabriel García Márquez,3.85,02/07/06
Chronicle of a Death Foretold,Gabriel García Márquez/Gregory Rabassa,3.97,10/07/03
Ojos de perro azul,Gabriel García Márquez,3.74,02/07/06
The General in His Labyrinth,Gabriel García Márquez/Edith Grossman,3.68,10/26/04
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Gabriel García Márquez,3.9,02/07/06
The Autumn of the Patriarch,Gabriel García Márquez/Gregory Rabassa,3.85,03/14/06
Cien años de soledad,Gabriel García Márquez,4.07,02/07/06
El amor en los tiempos del cólera,Gabriel García Márquez,3.91,01/01/85
Relato de un náufrago,Gabriel García Márquez,3.78,02/07/06
Relato de Um Náufrago,Gabriel García Márquez/Remy Gorga Filho,3.78,04/15/95
The Complete Poems,William Blake/Alicia Suskin Ostriker,4.24,11/24/77
The Marriage of Heaven and Hell,William Blake,4.24,09/01/94
The Stranger from Paradise: A Biography of William Blake,G.E. Bentley Jr.,4.06,04/10/03
The Complete Stories and Poems,Edgar Allan Poe,4.38,08/15/84
Complete Tales and Poems,Edgar Allan Poe,4.38,11/29/09
The Edgar Allan Poe Audio Collection,Edgar Allan Poe,4.39,10/01/00
18 Best Stories by Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,4.02,04/15/65
Complete Poems (Library of Classic Poets),Edgar Allan Poe,4.17,03/20/01
Edgar Allan Poe A to Z,Dawn B. Sova,4.33,04/01/01
Selected Letters  1940-1956,Jack Kerouac/Ann Charters,4.13,03/01/96
The Wild Boys,William S. Burroughs,3.6,01/12/94
Nova Express (The Nova Trilogy  #3),William S. Burroughs,3.67,01/21/94
Last Words: The Final Journals,William S. Burroughs/James Grauerholz,3.98,01/03/01
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.35,01/13/94
Junky,William S. Burroughs/Oliver  Harris/Allen Ginsberg,3.83,04/01/03
Queer,William S. Burroughs,3.59,12/17/98
Cities of the Red Night,William S. Burroughs,3.77,05/04/01
William S. Burroughs  Throbbing Gristle  Brion Gysin,V. Vale/Andrea Juno/William S. Burroughs/Throbbing Gristle/Brion Gysin,4.26,01/10/08
Burroughs Live: The Collected Interviews  1960-1997,William S. Burroughs/Sylvère Lotringer,4.36,12/07/01
My Education: A Book of Dreams,William S. Burroughs,3.7,06/01/96
Trainspotting (Mark Renton  #2),Irvine Welsh,4.09,10/17/02
Trainspotting,Murray Smith,4.03,03/29/02
Trainspotting,Irvine Welsh/Eric Lindor Fall,4.09,03/06/98
Marabou Stork Nightmares,Irvine Welsh,3.86,01/17/97
You'll Have Had Your Hole,Irvine Welsh,3.51,04/02/98
Ecstasy,Irvine Welsh/Alain Defossé,3.55,06/10/00
Filth,Irvine Welsh,3.73,09/17/98
The Female Brain,Louann Brizendine,3.83,08/01/06
Imaginary Friends,Nora Ephron,3.54,03/18/03
Scribble  Scribble: Notes on the Media,Nora Ephron,3.7,03/01/79
Life Amongst the Modocs,Joaquin Miller/Alan Rosenus/Malcolm Margolin,4.32,01/01/97
Devil's Backbone,Terry C. Johnston,4.17,08/15/91
Soldados de Salamina,Javier Cercas,3.81,09/01/01
Rule #1: The Simple Strategy for Successful Investing in Only 15 Minutes a Week!,Phil Town,4.02,03/21/06
"Laguna  I Love You: The Best of ""Our Town""",John Weld/Phil Interlandi,0,03/01/96
"Dirty Italian: Everyday Slang from ""What's Up?"" to ""F*%# Off!""",Gabrielle Ann Euvino/Lindsay Mack,4,10/28/06
The Deep (Dive  #2),Gordon Korman,3.78,07/01/03
The Discovery (Dive  #1),Gordon Korman,3.72,06/01/03
New York City's Best Dive Bars: Drinking and Diving in the Five Boroughs,Wendy  Mitchell/June Kim,3.75,07/01/03
The Stowaway Solution (On The Run  #4),Gordon Korman,4.11,10/01/05
The Abduction (Kidnapped  #1),Gordon Korman,3.99,05/01/06
The Fugitive Factor (On The Run  #2),Gordon Korman,4.13,06/01/05
Chasing The Falconers (On The Run  #1),Gordon Korman,4.05,04/01/05
Losing Joe's Place,Gordon Korman,4.05,10/01/91
Something Fishy at Macdonald Hall (Macdonald Hall  #7),Gordon Korman,4.06,09/01/00
The Zucchini Warriors (Macdonald Hall  #5),Gordon Korman,4.01,06/01/91
The Contest (Everest Trilogy),Gordon Korman,3.85,08/01/02
The Deep (Dive Trilogy),Gordon Korman,3.78,07/01/03
No More Dead Dogs,Gordon Korman,3.71,09/01/01
Radio Fifth Grade,Gordon Korman,3.55,08/01/91
The Climb (Everest Trilogy),Gordon Korman,3.9,07/01/02
The Contest (Everest  #1),Gordon Korman,3.85,08/01/02
Casino Royale (James Bond  #1),Ian Fleming,3.73,10/01/88
The Eternal Flame (Merlin  #11),T.A. Barron/David Elliot,4.22,10/19/06
The Ivy Tree,Carolyn Brown,4.24,02/01/01
Street Magic (The Circle Opens  #2),Tamora Pierce,4.15,11/15/06
Wolf-Speaker (Immortals  #2),Tamora Pierce,4.21,06/01/05
Leonardo's Notebooks,Leonardo da Vinci/H. Anna Suh,3.93,08/01/05
The Golden Notebook,Doris Lessing,3.76,02/03/99
Gödel  Escher  Bach: An Eternal Golden Braid,Douglas R. Hofstadter,4.29,03/30/00
M Is for Mayflower: A Massachusetts Alphabet,Margot Theis Raven/Jeannie Brett,4,10/01/02
Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2),Ron Roy/John Steven Gurney,4.19,08/28/07
William Shakespeare’s: Romeo and Juliet (Shakespeare Retellings  #4),Bruce Coville/Dennis Nolan,3.97,10/01/99
Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth,E.L. Konigsburg,3.79,02/27/07
Death of a Charming Man (Hamish Macbeth  #10),M.C. Beaton,3.79,07/01/95
The Merchant of Venice,William Shakespeare/Robert     Smith/Jonathan    Morris,3.8,08/01/05
Catherine  Called Birdy,Karen Cushman,3.71,06/01/04
How to Build a Time Machine,Paul Davies,3.82,07/02/02
Around the World in 8 1/2 Days (Judy Moody #7),Megan McDonald/Peter H. Reynolds,4.15,07/25/06
Judy Moody  M.D.: The Doctor is In! (Judy Moody #5),Megan McDonald/Peter H. Reynolds,4.08,03/14/06
Judy Moody Predicts the Future (Judy Moody  #4),Megan McDonald/Peter H. Reynolds,4.07,02/03/05
Judy Moody Declares Independence (Judy Moody #6),Megan McDonald/Peter H. Reynolds,4.08,01/26/10
Judy Moody Gets Famous! (Judy Moody  #2),Megan McDonald/Peter H. Reynolds,4.04,04/01/03
Judy Moody Saves the World! (Judy Moody #3),Megan McDonald/Peter H. Reynolds,4.03,04/01/04
Amelia's Notebook (Amelia's Notebooks  #1),Marissa Moss,4.01,02/01/06
Amelia's 6th-Grade Notebook (Amelia's Notebooks  #15),Marissa Moss,4.02,07/01/05
Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,10/01/01
Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,10/31/06
Charlotte's Web,E.B. White/Garth Williams/Kate DiCamillo,4.17,10/31/06
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz/E.B. White/Aleksey Ivanov/Olga Ivanov,4.13,10/31/06
Secrets of the Scorpion,Jed Carleton/Shawn Carman/Seth Mason/Robert    Lee/Travis Heerman/Aaron Medwin/Matthew S. Armstrong/D.J. Trindle/Cris Dornaus/Eric Steiger,3.68,04/01/03
The Runaway Jury,John Grisham,3.98,04/25/06
The Boys Start the War (Boy/Girl Battle  #1),Phyllis Reynolds Naylor,4.02,01/08/02
The Boys Start the War  the Girls Get Even,Phyllis Reynolds Naylor,4.13,06/01/94
Boys Against Girls (Sweet Valley Twins  #17),Francine Pascal/Jamie Suzanne,3.47,09/23/88
Boys Against Girls (Sweet Valley Twins  #17),Francine Pascal/Jamie Suzanne,3.47,03/01/88
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,4.07,12/01/00
Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,4.33,10/01/03
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll/John Tenniel/Tan Lin,4.07,12/15/03
Alice's Adventures in Wonderland,Lewis Carroll/Helen Oxenbury,4.02,03/01/03
Alice's Adventures in Wonderland and Through the Looking-Glass (Alice's Adventures in Wonderland  #1-2),Lewis Carroll/Hugh Haughton/John Tenniel,4.07,03/27/03
Alice's Adventures in Wonderland,Lewis Carroll/Helen Oxenbury,4.02,10/06/99
The Art of Warfare,Sun Tzu/Roger T. Ames,3.97,03/02/93
The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2),Michael Connelly,4.08,12/01/03
Black Ice (Ice  #1),Anne Stuart,3.71,04/26/05
A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones,3.87,03/01/05
White Sky  Black Ice (Nathan Active Mystery  #1),Stan Jones,3.77,07/01/03
Thus Spake the Corpse: An Exquisite Corpse Reader 1988-98 Vol 1 Poetry & Essays,Andrei Codrescu/Laura Rosenthal,3.83,07/01/99
Thus Spoke Zarathustra,Friedrich Nietzsche,4.06,12/01/06
A World Lit Only by Fire,William Manchester/Barrett Whitener,3.85,03/01/07
War Comes to Willy Freeman (Arabus Family Saga  #1),James Lincoln Collier/Christopher Collier,3.59,01/01/87
Skellig (Skellig  #1),David Almond,3.8,09/11/01
Skellig: The Play,David Almond,3.61,11/13/03
Les Misérables,Victor Hugo/Charles E. Wilbour,4.17,09/05/92
Les Misérables,Victor Hugo/Charles E. Wilbour/James K. Robinson,4.3,12/12/82
Les Misérables,Victor Hugo/Charles E. Wilbour/Peter Washington,4.17,03/31/98
Les Miserables (Stepping Stones),Monica Kulling/Victor Hugo,4.28,03/14/95
Because Of Winn Dixie,Kate DiCamillo,4.04,03/01/00
At the Edge of the World (Crispin  #2),Avi,3.69,08/08/06
The Story of Avis,Elizabeth Stuart Phelps/Carol Phillips,3.55,06/01/85
Poppy,Avi,3.96,05/03/05
Poppy's Return,Avi/Brian Floca,3.99,08/22/06
The Secret School,Avi,3.79,08/01/03
The Pen Is Mightier Than The Sword (The Amazing Days of Abby Hayes  #6),Anne Mazer/Monica Gesue,3.96,12/01/01
Have Wheels  Will Travel (The Amazing Days of Abby Hayes  #4),Anne Mazer/Monica Gesue,3.96,04/01/01
Out of Sight  Out of Mind (The Amazing Days of Abby Hayes  #9),Anne Mazer/Monica Gesue/Joyce White,3.88,12/01/02
The Best Is Yet to Come (The Amazing Days of Abby Hayes Super Special  #1),Anne Mazer,4.05,06/01/04
Violet Makes A Splash (Sister Magic),Anne Mazer/Bill Brown,3.96,07/01/07
The Trouble With Violet,Anne Mazer/Bill Brown,3.89,07/01/07
Knowledge Is Power (The Amazing Days of Abby Hayes: #15),Anne Mazer,3.97,07/01/04
The Trumpet of the Swan,E.B. White/Fred Marcellino,4.08,10/03/00
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.98,09/01/98
Sachs & Violens,Peter David/George Pérez,3.26,12/06/06
Nicomachean Ethics,Aristotle/Joe Sachs,3.94,01/01/02
Harper Lee's To Kill a Mockingbird (Bloom's Guides),Harold Bloom/Harper Lee,4.41,06/30/04
His Dark Materials,Nicholas Wright/Philip Pullman,4.02,04/01/04
His Dark Materials: New Edition,Nicholas Wright/Philip Pullman,4.02,04/01/05
His Dark Materials Trilogy (Northern Lights; The Subtle Knife; The Amber Spyglass),Philip Pullman,4.26,11/16/01
The Cricket in Times Square,George Selden/Garth Williams,4.02,05/11/99
Lucie Babbidge's House,Sylvia Cassedy,3.73,04/01/93
Nine Horses,Billy Collins,4.17,10/14/03
The Apple that Astonished Paris,Billy Collins,4.2,02/01/99
The Circle (Dan Lenson  #3),David Poyer,4.09,06/15/93
The Sorority: Samantha (Sorority Trilogy  #3),Tamara Thorne,3.72,08/01/03
Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce,4.27,09/17/04
Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce/Trini Alvarado,4.27,12/13/05
Video Girl Ai  Vol. 15: Len's Story,Masakazu Katsura,3.75,04/04/06
The Ships of Earth (Homecoming Saga #3),Orson Scott Card,3.54,01/15/95
Heathersleigh Homecoming (Secrets of Heathersleigh Hall  #3),Michael R. Phillips,4.33,10/01/99
Bait and Switch: The (Futile) Pursuit of the American Dream,Barbara Ehrenreich,3.48,07/25/06
For Her Own Good: Two Centuries of the Experts' Advice to Women,Barbara Ehrenreich/Deirdre English,3.97,01/04/05
Fear of Falling: The Inner Life of the Middle Class,Barbara Ehrenreich,3.91,09/26/90
On Duties (De Officiis),Marcus Tullius Cicero/Walter Miller,3.96,01/01/13
Peony in Love,Lisa See,3.6,06/26/07
See How She Dies,Lisa Jackson,3.9,08/01/04
Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,Chuck Klosterman,3.85,09/05/06
Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,Chuck Klosterman,3.8,05/01/02
i am 8-bit: Art Inspired by Classic Videogames of the '80s,Jon M. Gibson/Chuck Klosterman,4.11,03/30/06
No Idle Hands: The Social History of American Knitting,Anne Macdonald,4.02,05/19/90
How to be Idle,Tom Hodgkinson,3.81,05/10/05
The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham-Lewis/Charles  Lee/Billy Collins/Max Beerbohm,3.73,04/30/03
The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,10/17/04
The Hundred Days (Aubrey & Maturin #19),Patrick O'Brian,4.35,11/17/99
The Final Unfinished Voyage of Jack Aubrey (Aubrey & Maturin #21),Patrick O'Brian/Richard Snow,3.99,10/17/04
The Truelove (Aubrey & Maturin #15),Patrick O'Brian,4.36,07/17/93
Blue at the Mizzen (Aubrey & Maturin #20),Patrick O'Brian,4.38,09/17/00
Field Guide to Home Buying in America,Mark LeVine/Michael Pollan/Stephen M. Pollan,2.5,05/15/88
Gilliam on Gilliam (Directors on Directors),Terry Gilliam/Ian Christie,4.1,11/15/99
The Adventures of Baron Munchausen: The Illustrated Screenplay,Terry Gilliam/Charles McKeown,3.52,04/01/89
The Complete Monty Python's Flying Circus: All the Words  Vol. 2,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin,4.44,11/12/89
The Pythons Autobiography by The Pythons,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin/Bob McCabe,4.08,11/15/05
The Complete Monty Python's Flying Circus: All the Words: Volume 1,Graham Chapman/Eric Idle/Terry Gilliam/John Cleese/Terry Jones/Michael Palin/Roger Wilmut,4.38,11/12/89
The Gangs of New York,Herbert Asbury/Jorge Luis Borges,3.6,10/30/01
All Around the Town,Herbert Asbury,3.62,10/24/03
The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain/Shelly Fisher Fishkin,4.08,12/03/02
The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Scott McKowen,3.91,10/01/04
The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Guy Cardwell/John Seelye,3.91,02/28/06
The Moon in Hiding (The Green Lion Trilogy #2),Teresa Edgerton,4,09/01/89
The Short Stories  Vol 3,Ernest Hemingway/Stacy Keach,3.77,03/01/03
Selections from the Oakland Tribune Archives (Images of America: California),Annalee Allen,3,10/30/06
Sebastopol (Images of America: California),Western Sonoma County Historical Society,4.4,09/21/03
Center City Philadelphia in the 19th Century (Images of America: Pennsylvania),Library Company of Philadelphia,4.44,10/23/06
Juneau and Sauk Counties: 1850-2000 (Images of America: Wisconsin),Jacqueline Ann/Sheila Z.,2.67,03/05/02
Paris Spleen,Charles Baudelaire/Louise Varèse,4.3,01/17/70
The Writer of Modern Life: Essays on Charles Baudelaire,Walter Benjamin/Michael W. Jennings/Rodney Livingstone/Edmund F.N. Jephcott/Harry Zohn/Howard Eiland,4.3,11/01/06
Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides) (English and French Edition),Charles Baudelaire/Wallace Fowlie,4.35,05/01/92
On Wine and Hashish,Charles Baudelaire/Andrew Brown/Margaret Drabble,3.93,09/01/02
Intimate Journals,Charles Baudelaire/Christopher Isherwood/W.H. Auden,3.73,06/16/06
The Painter of Modern Life and Other Essays (Phaidon Arts and Letters),Charles Baudelaire/Jonathon Mayne,3.96,08/24/95
Candide,Voltaire/Larousse,3.77,05/01/07
Candide,Voltaire/Mona Mulhair,3.77,10/01/05
The Handbook (The Encheiridion),Epictetus/Nicholas P. White,4.23,06/01/83
A Manual for Living,Epictetus/Sharon Lebell,4.23,06/23/94
Discourses  Books 3-4. The Enchiridion (Loeb Classical Library #218),Epictetus/William A. Oldfather,4.34,01/01/28
A Stranger Came Ashore,Mollie Hunter/Lisa Falkenstern,3.82,04/06/77
Rob Roy MacGregor,Nigel Tranter,3.93,09/01/12
Rob Roy,Walter Scott,3.7,11/16/00
From Glencoe to Stirling: Rob Roy  the Highlanders & Scotlands Chivalric Age (Tales of a Scottish Grandfather 3),Walter Scott/George Grant,3.7,10/20/00
Myths of the Norsemen: Retold from the Old Norse Poems and Tales,Roger Lancelyn Green/Alan Langford,4,11/01/94
D'Aulaires' Book of Norse Myths,Ingri d'Aulaire/Edgar Parin d'Aulaire/Michael Chabon,4.39,05/31/05
Penguin Book Of Norse Myths: Gods Of The Vikings,Kevin Crossley-Holland,4.2,01/07/97
The Prose Edda,Snorri Sturluson/Jesse L. Byock,4.17,07/28/05
Exploring the Northern Tradition: A Guide to the Gods  Lore  Rites  and Celebrations From the Norse  German  and Anglo-Saxon Traditions,Galina Krasskova/Swain Wódening,3.83,05/15/05
Tales of the Norse Gods,Barbara Leonie Picard/Rosamund Fowler,4.05,03/22/01
The Tristan Betrayal,Robert Ludlum,3.84,10/17/04
Isolde  Queen of the Western Isle (Tristan and Isolde  #1),Rosalind Miles,3.64,06/24/03
The Ultimate Guide to Anal Sex for Women,Tristan Taormino,4.11,01/27/06
Oh  The Places You’ll Go!,Dr. Seuss,4.35,05/06/03
Toys Go Out: Being the Adventures of a Knowledgeable Stingray  a Toughy Little Buffalo  and Someone Called Plastic (Toys #1),Emily Jenkins/Paul O. Zelinsky,3.94,09/12/06
Melville: His World and Work,Andrew Delbanco,4.04,09/12/06
Racso and the Rats of NIMH (Rats of NIMH  #2),Jane Leslie Conly/Leonard B. Lubin,3.77,09/01/88
R-T  Margaret  and the Rats of NIMH (Rats of NIMH  #3),Jane Leslie Conly/Leonard B. Lubin,3.54,09/30/91
The Dance of the Dissident Daughter,Sue Monk Kidd,3.95,08/20/02
Talk Talk,T. Coraghessan Boyle,3.42,07/06/06
Drop City,T. Coraghessan Boyle/Richard Poe,3.85,01/27/04
Tooth and Claw,T. Coraghessan Boyle,3.82,06/27/06
East Is East,T. Coraghessan Boyle,3.64,08/01/91
After the Plague: and Other Stories,T. Coraghessan Boyle,3.86,12/31/02
Descent of Man,T. Coraghessan Boyle,3.96,07/27/90
World's End,T. Coraghessan Boyle,4.01,07/20/90
If the River Was Whiskey: Stories,T. Coraghessan Boyle,3.94,05/24/89
If the River Was Whiskey,T. Coraghessan Boyle,3.94,05/01/90
American Writers  Supplement VIII,Jay Parini/August Wilson,0,05/01/01
Greasy Lake & Other Stories,T. Coraghessan Boyle,3.94,05/06/86
L'Orient  c'est l'Orient,T. Coraghessan Boyle,3.64,09/01/93
An Acceptable Time (Time Quintet  #5),Madeleine L'Engle,3.82,12/01/90
Conversations with Kurt Vonnegut,William Rodney Allen/Kurt Vonnegut Jr.,4.05,01/01/88
So Yesterday,Scott Westerfeld,3.58,09/08/05
Specials (Uglies  #3),Scott Westerfeld,3.77,05/09/06
Touching Darkness (Midnighters  #2),Scott Westerfeld,3.89,03/01/06
Pretties (Uglies  #2),Scott Westerfeld,3.85,11/01/05
Blue Noon (Midnighters  #3),Scott Westerfeld,3.85,02/06/07
Uglies (Uglies  #1),Scott Westerfeld,3.86,02/08/05
Evolution's Darling,Scott Westerfeld,3.51,04/03/00
The Butterfly Tattoo,Philip Pullman,3.19,09/02/05
Count Karlstein,Philip Pullman/Diana Bryan,3.5,02/22/00
The Castle of Llyr (The Chronicles of Prydain  #3),Lloyd Alexander,4.08,05/16/06
The Book of Three (The Chronicles of Prydain  #1),Lloyd Alexander,3.99,05/16/06
The High King (The Chronicles of Prydain  #5),Lloyd Alexander,4.25,05/16/06
Taran Wanderer (The Chronicles of Prydain  #4),Lloyd Alexander,4.14,05/16/06
Westmark (Westmark  #1),Lloyd Alexander,3.92,01/14/02
The Black Cauldron (The Chronicles of Prydain  #2),Lloyd Alexander,4.13,05/16/06
The Foundling and Other Tales of Prydain,Lloyd Alexander,3.93,05/16/06
The Prydain Companion: A Reference Guide to Lloyd Alexander's Prydain Chronicles,Michael O. Tunnell/Lloyd Alexander,4.22,04/01/03
A Lloyd Alexander Collection,Lloyd Alexander,4.24,05/21/01
The Philadelphia Adventure,Lloyd Alexander,3.88,07/08/02
Libra,Don DeLillo/Michel Courtois-Fourcy,3.99,01/01/01
Zorro,Isabel Allende/Margaret Sayers Peden/محمدعلی مهمان‌نوازان,3.76,05/03/05
House of Leaves,Mark Z. Danielewski,4.1,03/07/00
A Parchment of Leaves,Silas House,4.18,08/26/03
The Areas of My Expertise: An Almanac of Complete World Knowledge Compiled with Instructive Annotation and Arranged in Useful Order,John Hodgman,3.82,09/05/06
The Complete Calvin and Hobbes,Bill Watterson,4.82,09/06/05
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,09/05/95
It's a Magical World (Calvin and Hobbes  #11),Bill Watterson,4.76,09/01/96
Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,09/06/94
The Days Are Just Packed,Bill Watterson,4.69,09/01/93
The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,02/01/08
Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,09/17/01
Ship of Fools,Richard Paul Russo,3.74,12/31/01
The Rosetta Codex,Richard Paul Russo,3.21,12/06/05
The Illustrated Man,Ray Bradbury,4.14,01/01/76
The Sot-Weed Factor,John Barth,4.09,03/01/05
The Floating Opera and The End of the Road,John Barth,4.03,03/11/97
Chimera,John Barth,3.73,11/20/01
Letters,John Barth,3.81,10/01/94
Scar Lover,Harry Crews,3.79,02/23/93
Narcisse et Goldmund,Hermann Hesse,4.2,01/01/91
Demian,Hermann Hesse/Stanley Appelbaum,4.13,06/11/02
The Ship Avenged,S.M. Stirling,4.06,02/01/97
Dragon's Kin (Pern  #17),Anne McCaffrey/Todd McCaffrey,3.92,12/28/04
Dragonflight (Pern: Dragonriders of Pern  #1),Anne McCaffrey/Dick Hill,4.1,09/25/05
House of Stairs,William Sleator,3.85,04/01/91
Oddballs,William Sleator,3.87,06/01/95
Hell Phone,William Sleator,3.5,09/26/06
The Beasties,William Sleator,3.83,10/01/99
The Duplicate,William Sleator,3.68,06/01/99
Strange Attractors,William Sleator,3.72,04/01/91
Parasite Pig (Interstellar Pig #2),William Sleator,3.64,02/09/04
The Boy Who Couldn't Die,William Sleator,3.68,04/01/05
Among the Dolls,William Sleator,3.65,05/02/06
That's Silly,William Sleator/Lawrence Di Fiori,3.6,04/14/81
Once Said Darlene,William Sleator/Steven Kellogg,3.62,03/22/79
Boltzmon!,William Sleator,3.62,09/01/99
Interstellar Pig (Interstellar Pig #1),William Sleator,3.88,12/06/01
A Birthday for Frances,Russell Hoban/Lillian Hoban,4.24,06/06/02
Pilgermann,Russell Hoban,4.02,01/02/02
How Tom Beat Captain Najork and His Hired Sportsmen (Captain Najork #1),Russell Hoban/Quentin Blake,4.29,10/01/06
World's Fair,E.L. Doctorow,3.83,05/01/96
The March,E.L. Doctorow,3.8,09/12/06
Three Complete Novels: Billy Bathgate/World's Fair/Loon Lake,E.L. Doctorow,4.29,05/08/94
The Discomfort Zone: A Personal History,Jonathan Franzen,3.4,09/05/06
A Confederacy of Dunces,John Kennedy Toole,3.89,02/26/03
A Confederacy of Dunces,John Kennedy Toole/Walker Percy,3.89,03/30/00
La conjura de los necios,John Kennedy Toole,3.89,01/10/06
Lost,Gregory Maguire/Douglas Smith,2.82,09/17/02
The Dream Stealer,Gregory Maguire/Diana Bryan,3.64,10/21/02
Four Stupid Cupids (The Hamlet Chronicles  #4),Gregory Maguire/Elaine Clayton,3.52,12/04/01
Wicked: The Grimmerie,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman,4.18,10/26/05
A Little Bit Wicked (Last Man Standing  #1),Victoria Alexander,3.8,12/26/06
My Wicked  Wicked Ways,Errol Flynn/Jeffrey Meyers,4.02,02/25/05
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,4.14,01/18/84
The Wonderful Story Of Henry Sugar and Six More,Roald Dahl,4.14,09/27/01
Danny The Champion of the World,Roald Dahl/Jill Bennett,4.09,06/01/84
Danny the Champion of the World,Roald Dahl,4.09,09/01/09
Danny The Champion Of The World,Roald Dahl/Quentin Blake,4.09,11/07/02
Danny  Champion Du Monde,Roald Dahl,4.09,09/05/01
The Science of the Hitchhiker's Guide to the Galaxy,Michael Hanlon,3.6,08/08/06
The Dark Is Rising Sequence,Susan Cooper,4.28,10/25/84
The Essential Kierkegaard,Søren Kierkegaard/Howard Vincent Hong/Edna Hatlestad Hong,4.2,06/19/00
Fear and Trembling,Søren Kierkegaard/Alastair Hannay,4,05/30/06
Fear and Trembling/Repetition,Søren Kierkegaard/Edna Hatlestad Hong/Howard Vincent Hong,4.23,06/01/83
Either/Or: A Fragment of Life,Søren Kierkegaard/Victor Eremita/Alastair Hannay,4.17,12/01/92
Inside Job,Connie Willis,3.67,06/01/05
Miracle and Other Christmas Stories,Connie Willis,3.9,10/31/00
Lincoln's Dreams,Connie Willis,3.52,06/01/92
Uncharted Territory,Connie Willis,3.51,06/01/94
Passage,Connie Willis,3.69,01/02/02
Bellwether,Connie Willis,3.92,06/02/97
Writing Degree Zero,Roland Barthes/Annette Lavers/Colin Smith/Susan Sontag,3.88,05/01/77
New Worlds  Ancient Texts: The Power of Tradition and the Shock of Discovery,Anthony Grafton,3.62,03/15/95
The Book of My Life,Girolamo Cardano/Jean Stoner/Anthony Grafton,3.75,10/31/02
A Crack in the Edge of the World,Simon Winchester,3.78,10/10/06
The Map That Changed the World: William Smith and the Birth of Modern Geology,Simon Winchester,3.82,07/30/02
The River at the Center of the World: A Journey Up the Yangtze & Back in Chinese Time,Simon Winchester,3.92,04/01/04
Outposts: Journeys to the Surviving Relics of the British Empire,Simon Winchester,3.79,06/15/04
Krakatoa: The Day the World Exploded: August 27  1883,Simon Winchester,3.87,07/05/05
How the Irish Saved Civilization,Thomas Cahill,3.81,03/03/03
Irish Traditional Cooking: Over 300 Recipes from Ireland's Heritage,Darina Allen/Regina Sexton,4.19,12/22/04
The Scotch-Irish: A Social History,James Graham Leyburn,3.97,08/30/89
Irish Blessings,Ashley Shannon,4.05,02/22/99
Classical Drawing Atelier: A Contemporary Guide to Traditional Studio Practice,Juliette Aristides,4.12,11/01/06
Common Herbs for Natural Health,Juliette De Bairacli Levy/Heather  Wood,4.45,04/11/96
The Complete Herbal Handbook for the Dog and Cat,Juliette De Bairacli Levy,4.31,04/08/91
El rey de Les Halles,Juliette Benzoni/Francisco Rodriguez de Lecea,4.19,01/01/07
